Record Length,2500,Points,,,Tiempo,Voltaje,
,,,,-1,5200000,-144.000.006,
,,,,-1,5200000,-151.999.998,
,,,,-1,5200000,-151.999.998,
,,,,-1,5100000,-151.999.998,
,,,,-1,5100000,-160.000.000,
,,,,-1,5100000,-160.000.000,
,,,,-1,5100000,-151.999.998,
,,,,-1,5100000,-160.000.000,
,,,,-1,5000000,-160.000.000,
,,,,-1,5000000,-160.000.000,
,,,,-1,5000000,-168.000.011,
,,,,-1,5000000,-160.000.000,
,,,,-1,5000000,-168.000.011,
,,,,-1,4900000,-168.000.011,
,,,,-1,4900000,-168.000.011,
,,,,-1,4900000,-176.000.004,
,,,,-1,4900000,-168.000.011,
,,,,-1,4900000,-176.000.004,
,,,,-1,4800000,-176.000.004,
,,,,-1,4800000,-176.000.004,
,,,,-1,4800000,-183.999.996,
,,,,-1,4800000,-176.000.004,
,,,,-1,4800000,-176.000.004,
,,,,-1,4700000,-183.999.996,
,,,,-1,4700000,-176.000.004,
,,,,-1,4700000,-183.999.996,
,,,,-1,4700000,-183.999.996,
,,,,-1,4700000,-183.999.996,
,,,,-1,4600000,-192.000.008,
,,,,-1,4600000,-192.000.008,
,,,,-1,4600000,-192.000.008,
,,,,-1,4600000,-192.000.008,
,,,,-1,4600000,-192.000.008,
,,,,-1,4500000,-200.000.000,
,,,,-1,4500000,-2.080.000.114,
,,,,-1,4500000,-200.000.000,
,,,,-1,4500000,-2.160.000.038,
,,,,-1,4500000,-200.000.000,
,,,,-1,4400000,-2.080.000.114,
,,,,-1,4400000,-2.080.000.114,
,,,,-1,4400000,-200.000.000,
,,,,-1,4400000,-2.080.000.114,
,,,,-1,4400000,-2.080.000.114,
,,,,-1,4300000,-2.160.000.038,
,,,,-1,4300000,-2.160.000.038,
,,,,-1,4300000,-2.160.000.038,
,,,,-1,4300000,-2.160.000.038,
,,,,-1,4300000,-2.160.000.038,
,,,,-1,4200000,-2.239.999.962,
,,,,-1,4200000,-2.239.999.962,
,,,,-1,4200000,-2.239.999.962,
,,,,-1,4200000,-2.320.000.076,
,,,,-1,4200000,-2.239.999.962,
,,,,-1,4100000,-2.320.000.076,
,,,,-1,4100000,-2.320.000.076,
,,,,-1,4100000,-2.320.000.076,
,,,,-1,4100000,-2.320.000.076,
,,,,-1,4100000,-2.400.000.000,
,,,,-1,4000000,-2.320.000.076,
,,,,-1,4000000,-2.400.000.000,
,,,,-1,4000000,-2.400.000.000,
,,,,-1,4000000,-2.400.000.000,
,,,,-1,4000000,-2.480.000.114,
,,,,-1,3900000,-2.400.000.000,
,,,,-1,3900000,-2.480.000.114,
,,,,-1,3900000,-2.480.000.114,
,,,,-1,3900000,-2.480.000.114,
,,,,-1,3900000,-2.480.000.114,
,,,,-1,3800000,-2.480.000.114,
,,,,-1,3800000,-2.480.000.114,
,,,,-1,3800000,-2.480.000.114,
,,,,-1,3800000,-2.560.000.038,
,,,,-1,3800000,-2.480.000.114,
,,,,-1,3700000,-2.560.000.038,
,,,,-1,3700000,-2.560.000.038,
,,,,-1,3700000,-2.560.000.038,
,,,,-1,3700000,-2.560.000.038,
,,,,-1,3700000,-2.639.999.962,
,,,,-1,3600000,-2.639.999.962,
,,,,-1,3600000,-2.639.999.962,
,,,,-1,3600000,-2.639.999.962,
,,,,-1,3600000,-2.639.999.962,
,,,,-1,3600000,-2.639.999.962,
,,,,-1,3500000,-2.639.999.962,
,,,,-1,3500000,-2.639.999.962,
,,,,-1,3500000,-2.720.000.076,
,,,,-1,3500000,-2.720.000.076,
,,,,-1,3500000,-2.720.000.076,
,,,,-1,3400000,-2.800.000.000,
,,,,-1,3400000,-2.720.000.076,
,,,,-1,3400000,-2.720.000.076,
,,,,-1,3400000,-2.800.000.000,
,,,,-1,3400000,-2.800.000.000,
,,,,-1,3300000,-2.800.000.000,
,,,,-1,3300000,-2.800.000.000,
,,,,-1,3300000,-2.880.000.114,
,,,,-1,3300000,-2.800.000.000,
,,,,-1,3300000,-2.800.000.000,
,,,,-1,3200000,-2.800.000.000,
,,,,-1,3200000,-2.880.000.114,
,,,,-1,3200000,-2.880.000.114,
,,,,-1,3200000,-2.880.000.114,
,,,,-1,3200000,-2.880.000.114,
,,,,-1,3100000,-2.880.000.114,
,,,,-1,3100000,-2.880.000.114,
,,,,-1,3100000,-2.960.000.038,
,,,,-1,3100000,-2.960.000.038,
,,,,-1,3100000,-3.039.999.962,
,,,,-1,3000000,-3.039.999.962,
,,,,-1,3000000,-2.960.000.038,
,,,,-1,3000000,-2.960.000.038,
,,,,-1,3000000,-3.039.999.962,
,,,,-1,3000000,-3.039.999.962,
,,,,-1,2900000,-3.039.999.962,
,,,,-1,2900000,-3.039.999.962,
,,,,-1,2900000,-3.120.000.076,
,,,,-1,2900000,-3.120.000.076,
,,,,-1,2900000,-3.120.000.076,
,,,,-1,2800000,-3.120.000.076,
,,,,-1,2800000,-3.120.000.076,
,,,,-1,2800000,-3.120.000.076,
,,,,-1,2800000,-3.200.000.000,
,,,,-1,2800000,-3.200.000.000,
,,,,-1,2700000,-3.200.000.000,
,,,,-1,2700000,-3.200.000.000,
,,,,-1,2700000,-3.200.000.000,
,,,,-1,2700000,-3.200.000.000,
,,,,-1,2700000,-3.200.000.000,
