Record Length,2500,Points,Tiempo,Voltaje
,,,-0.000637000077404,-134
,,,-0.00063600006979,-134
,,,-0.000635000062175,-134
,,,-0.000634000112768,-134
,,,-0.000633000105154,-134
,,,-0.000632000097539,-132
,,,-0.000631000089925,-132
,,,-0.00063000008231,-132
,,,-0.000629000074696,-132
,,,-0.000628000067081,-132
,,,-0.000627000117674,-132
,,,-0.00062600011006,-130
,,,-0.000625000102445,-130
,,,-0.000624000094831,-130
,,,-0.000623000087216,-128
,,,-0.000622000079602,-128
,,,-0.000621000071988,-128
,,,-0.000620000064373,-128
,,,-0.000619000114966,-126
,,,-0.000618000107352,-126
,,,-0.000617000099737,-124
,,,-0.000616000092123,-124
,,,-0.000615000084508,-124
,,,-0.000614000076894,-122
,,,-0.000613000069279,-120
,,,-0.000612000061665,-118
,,,-0.000611000112258,-116
,,,-0.000610000104643,-114
,,,-0.000609000097029,-112
,,,-0.000608000089414,-112
,,,-0.0006070000818,-110
,,,-0.000606000074185,-108
,,,-0.000605000066571,-106
,,,-0.000604000117164,-104
,,,-0.00060300010955,-102
,,,-0.000602000101935,-100
,,,-0.000601000094321,-98
,,,-0.000600000086706,-94
,,,-0.000599000079092,-92
,,,-0.000598000071477,-90
,,,-0.000597000063863,-88
,,,-0.000596000114456,-86
,,,-0.000595000106841,-84
,,,-0.000594000099227,-80
,,,-0.000593000091612,-76
,,,-0.000592000083998,-74
,,,-0.000591000076383,-72
,,,-0.000590000068769,-70
,,,-0.000589000061154,-68
,,,-0.000588000111748,-64
,,,-0.000587000104133,-62
,,,-0.000586000096519,-60
,,,-0.000585000088904,-58
,,,-0.00058400008129,-52
,,,-0.000583000073675,-52
,,,-0.000582000066061,-48
,,,-0.000581000116654,-46
,,,-0.000580000109039,-44
,,,-0.000579000101425,-40
,,,-0.00057800009381,-38
,,,-0.000577000086196,-36
,,,-0.000576000078581,-34
,,,-0.000575000070967,-30
,,,-0.000574000063352,-28
,,,-0.000573000113945,-26
,,,-0.000572000106331,-22
,,,-0.000571000098716,-20
,,,-0.000570000091102,-18
,,,-0.000569000083487,-14
,,,-0.000568000075873,-12
,,,-0.000567000068258,-10
,,,-0.000566000118852,-6
,,,-0.000565000111237,-4
,,,-0.000564000103623,-2
,,,-0.000563000096008,2
,,,-0.000562000088394,4
,,,-0.000561000080779,8
,,,-0.000560000073165,8
,,,-0.00055900006555,10
,,,-0.000558000116143,14
,,,-0.000557000108529,16
,,,-0.000556000100914,18
,,,-0.0005550000933,22
,,,-0.000554000085685,24
,,,-0.000553000078071,28
,,,-0.000552000070456,30
,,,-0.000551000062842,32
,,,-0.000550000113435,34
,,,-0.000549000105821,38
,,,-0.000548000098206,42
,,,-0.000547000090592,44
,,,-0.000546000082977,48
,,,-0.000545000075363,50
,,,-0.000544000067748,52
,,,-0.000543000118341,54
,,,-0.000542000110727,58
,,,-0.000541000103112,60
,,,-0.000540000095498,62
,,,-0.000539000087883,66
,,,-0.000538000080269,68
,,,-0.000537000072654,72
,,,-0.00053600006504,74
,,,-0.000535000115633,76
,,,-0.000534000108019,80
,,,-0.000533000100404,82
,,,-0.00053200009279,86
,,,-0.000531000085175,90
,,,-0.000530000077561,92
,,,-0.000529000069946,94
,,,-0.000528000062332,96
,,,-0.000527000112925,100
,,,-0.00052600010531,102
,,,-0.000525000097696,104
,,,-0.000524000090081,108
,,,-0.000523000082467,110
,,,-0.000522000074852,110
,,,-0.000521000067238,112
,,,-0.000520000117831,112
,,,-0.000519000110216,114
,,,-0.000518000102602,114
,,,-0.000517000094987,114
,,,-0.000516000087373,116
,,,-0.000515000079758,116
,,,-0.000514000072144,116
,,,-0.000513000064529,118
,,,-0.000512000115123,118
,,,-0.000511000107508,116
,,,-0.000510000099894,118
,,,-0.000509000092279,118
,,,-0.000508000084665,118
,,,-0.00050700007705,118
,,,-0.000506000069436,118
,,,-0.000505000061821,118
,,,-0.000504000112414,118
,,,-0.0005030001048,118
,,,-0.000502000097185,118
,,,-0.000501000089571,118
,,,-0.000500000081956,116
,,,-0.000499000074342,116
,,,-0.000498000066727,116
,,,-0.000497000117321,116
,,,-0.000496000109706,114
,,,-0.000495000102092,114
,,,-0.000494000094477,114
,,,-0.000493000086863,114
,,,-0.000492000079248,114
,,,-0.000491000071634,112
,,,-0.000490000064019,112
,,,-0.000489000114612,112
,,,-0.000488000077894,112
,,,-0.000487000099383,110
,,,-0.000486000091769,110
,,,-0.000485000084154,110
,,,-0.00048400007654,110
,,,-0.000483000098029,108
,,,-0.000482000090415,108
,,,-0.0004810000828,106
,,,-0.00048000010429,106
,,,-0.000479000096675,104
,,,-0.000478000089061,104
,,,-0.000477000081446,104
,,,-0.000476000102935,102
,,,-0.000475000095321,102
,,,-0.000474000087706,102
,,,-0.000473000080092,100
,,,-0.000472000101581,100
,,,-0.000471000093967,98
,,,-0.000470000086352,98
,,,-0.000469000078738,96
,,,-0.000468000100227,94
,,,-0.000467000092613,94
,,,-0.000466000084998,92
,,,-0.000465000077384,90
,,,-0.000464000098873,90
,,,-0.000463000091258,88
,,,-0.000462000083644,84
,,,-0.000461000076029,82
,,,-0.000460000097519,80
,,,-0.000459000089904,78
,,,-0.00045800008229,76
,,,-0.000457000103779,74
,,,-0.000456000096165,74
,,,-0.00045500008855,72
,,,-0.000454000080936,70
,,,-0.000453000102425,68
,,,-0.000452000094811,66
,,,-0.000451000087196,64
